id;start_date;end_date;language
1;2020-05-05T13:45:00;2020-05-05T11:35:15;SPANISH
2;2020-05-04T18:35:11;2020-05-05T13:39:36;SPANISH
3;2020-05-05T09:30:30;2020-05-04T20:04:39;FRENCH
4;2020-05-05T00:48:01;2020-05-05T12:19:27;FRENCH
5;2020-05-05T10:18:19;2020-05-05T15:05:18;FRENCH
6;2020-05-05T04:10:40;2020-05-05T16:18:54;FRENCH
7;2020-05-05T05:56:00;2020-05-04T23:46:51;FRENCH
8;2020-05-05T04:52:13;2020-05-05T15:08:21;SPANISH
9;2020-05-05T03:33:22;2020-05-05T00:14:45;SPANISH
10;2020-05-05T11:45:26;2020-05-04T22:19:56;SPANISH
